SMA,ROC,Multiplier,Breadth,Return_2022,Std_MaxDD
250,10,2.5,240,-0.07647712490833303,-0.279505828163832
250,10,2.5,290,-0.03617757634166653,-0.23766150987995951
250,10,2.7,240,-0.0807471460833331,-0.2837514500850901
250,10,2.7,290,-0.06163111050833315,-0.26296960044967205
250,10,3.0,240,-0.07538099683333313,-0.2784159634552042
250,10,3.0,290,-0.056264961258333177,-0.2576341138197861
250,10,3.5,240,-0.048752684166666366,-0.263881134386158
250,10,3.5,290,-0.041927685683333125,-0.2553200898410978
250,14,2.5,240,-0.0887056257250001,-0.23898881312650327
250,14,2.5,290,-0.04904940784166704,-0.2164758574088097
250,14,2.7,240,-0.08318516235000019,-0.23355634863217067
250,14,2.7,290,-0.04352894446666713,-0.21104339291447707
250,14,3.0,240,-0.04293036169166664,-0.1939432291442005
250,14,3.0,290,-0.003274143808333824,-0.17535301244098994
250,14,3.5,240,-0.03381288584166666,-0.18497109030937645
250,14,3.5,290,-0.006128457333333542,-0.17148317749912975
250,20,2.5,240,-0.06659062403333299,-0.26578901086666656
250,20,2.5,290,-0.11912971529999997,-0.2665011224999999
250,20,2.7,240,-0.02634417279999989,-0.26026854749166667
250,20,2.7,290,-0.07888326406666661,-0.260980659125
250,20,3.0,240,0.007864116058333715,-0.2260602586333332
250,20,3.0,290,-0.044674975208333134,-0.22677237026666652
250,20,3.5,240,0.008475399108333885,-0.22051490588333308
250,20,3.5,290,-0.02317254635833328,-0.2052699414166663
303,10,2.5,240,-0.07647712490833303,-0.279505828163832
303,10,2.5,290,-0.03617757634166653,-0.23766150987995951
303,10,2.7,240,-0.0807471460833331,-0.2837514500850901
303,10,2.7,290,-0.06163111050833315,-0.26296960044967205
303,10,3.0,240,-0.07538099683333313,-0.2784159634552042
303,10,3.0,290,-0.056264961258333177,-0.2576341138197861
303,10,3.5,240,-0.048752684166666366,-0.263881134386158
303,10,3.5,290,-0.041927685683333125,-0.2553200898410978
303,14,2.5,240,-0.12889242269166684,-0.26302255824454734
303,14,2.5,290,-0.08923620480833376,-0.21880049141060878
303,14,2.7,240,-0.12337195931666692,-0.25759009375021474
303,14,2.7,290,-0.08371574143333385,-0.21336802691627615
303,14,3.0,240,-0.08311715865833337,-0.21797697426224458
303,14,3.0,290,-0.043460940775000304,-0.17535301244098994
303,14,3.5,240,-0.07399968280833338,-0.20900483542742063
303,14,3.5,290,-0.046315254300000025,-0.17656372180256216
303,20,2.5,240,-0.15208287764999967,-0.26578901086666656
303,20,2.5,290,-0.2046219689166665,-0.2665011224999999
303,20,2.7,240,-0.11183642641666655,-0.26026854749166667
303,20,2.7,290,-0.16437551768333342,-0.260980659125
303,20,3.0,240,-0.07762813755833307,-0.2260602586333332
303,20,3.0,290,-0.13016722882499993,-0.22677237026666652
303,20,3.5,240,-0.07701685450833304,-0.22051490588333308
303,20,3.5,290,-0.10866479997499982,-0.2052699414166663
350,10,2.5,240,-0.056137174191666396,-0.265421028160647
350,10,2.5,290,-0.0158376256249999,-0.234502985230845
350,10,2.7,240,-0.060407195366666465,-0.2696426525313115
350,10,2.7,290,-0.04129115979166652,-0.2596680267502326
350,10,3.0,240,-0.0550410461166665,-0.26433732369991
350,10,3.0,290,-0.035925010541666545,-0.2543626979188311
350,10,3.5,240,-0.02679990194999973,-0.24829009839726002
350,10,3.5,290,-0.01997490346666649,-0.2504672019871532
350,14,2.5,240,-0.10546000616666674,-0.2342950478693233
350,14,2.5,290,-0.06580378828333368,-0.20512879576367626
350,14,2.7,240,-0.09993954279166684,-0.228822066146181
350,14,2.7,290,-0.06028332490833377,-0.19965581404053398
350,14,3.0,240,-0.05968474213333329,-0.1889134980956233
350,14,3.0,290,-0.020028524250000217,-0.16369924217022191
350,14,3.5,240,-0.03694448169999992,-0.17179009554900518
350,14,3.5,290,-0.009260053191666801,-0.1582015851462537
350,20,2.5,240,-0.17064234233333295,-0.2824745459916664
350,20,2.5,290,-0.22318143359999978,-0.2716814610666665
350,20,2.7,240,-0.13039589109999986,-0.26026854749166667
350,20,2.7,290,-0.1829349823666667,-0.260980659125
350,20,3.0,240,-0.09618760224166636,-0.2260602586333332
350,20,3.0,290,-0.14872669350833323,-0.22677237026666652
350,20,3.5,240,-0.09557631919166631,-0.22051490588333308
350,20,3.5,290,-0.1272242646583331,-0.2052699414166663
