Multiplier,Trading_CAGR,Auth_CAGR,Std_MaxDD,Fixed_MaxDD,Calmar
1.5,0.2802205024974611,0.07335705576672935,-0.14486007246488486,-0.05049568357166673,1.9344219406309395
1.7,0.30419926303940303,0.08122037671661908,-0.15131079825989452,-0.05244889039833347,2.0104266617964974
1.9,0.33809991793388283,0.09274374487124071,-0.1466023216087433,-0.05255208133000006,2.3062384976154338
2.1,0.3586889294272362,0.09997035350906325,-0.15683349269133226,-0.05657156647333334,2.287068426979309
2.3,0.37960001355007256,0.10748301689568329,-0.1583276657749294,-0.058141601308333374,2.397559590688924
2.5,0.399134760940264,0.11465605763718756,-0.15983712248052484,-0.05988717614166667,2.4971342998801553
2.7,0.408310498956046,0.11807621466192986,-0.12637297787969926,-0.04823930596666669,3.230995310917949
2.9,0.4087330183242124,0.11823448053826424,-0.14850001591932827,-0.05726439245666668,2.75241060274535
3.1,0.40469300880314263,0.11672398038295362,-0.15131192202932062,-0.05726439245666668,2.6745612862198844
3.3,0.40181071575939975,0.11565015404959356,-0.16169631138079887,-0.06143891086499999,2.4849714401531733
3.5,0.39934206940482153,0.11473297266884486,-0.1733112137999563,-0.06592537004500001,2.3041905982249964
